Bug ID	Title	Link to Bug	File	Link to diff	Old Code (maybe)	New Code (maybe)
b579095	[Fx 4.0 beta1] Larry doesn't display domain name nor identity info for https pages in the address bar	https://bugzilla.mozilla.org/show_bug.cgi?id=579095	"
a/browser/base/content/browser.js"	https://bugzilla.mozilla.org/attachment.cgi?id=460525&action=diff	"
    this._identityIconLabel.parentNode.hidden = icon_label ? false : true;"	"
    this._identityIconLabel.parentNode.collapsed = icon_label ? false : true;"
b1237077	drag and drop handlers need to use the proper user context id	https://bugzilla.mozilla.org/show_bug.cgi?id=1237077	"
a/dom/base/contentAreaDropListener.js"	https://bugzilla.mozilla.org/attachment.cgi?id=8742198&action=diff	"
                               : secMan.getSimpleCodebasePrincipal(ioService.newURI(""file:///"", null, null));"	"
                               : secMan.createCodebasePrincipal(ioService.newURI(""file:///"", null, null), {});"
b1199466	Update the Cookie Management UI to include userContextId	https://bugzilla.mozilla.org/show_bug.cgi?id=1199466	"
a/netwerk/cookie/nsCookie.cpp
a/netwerk/cookie/nsCookie.h
a/netwerk/cookie/nsCookieService.cpp
a/netwerk/cookie/nsCookieService.h
a/netwerk/cookie/nsICookie.idl
a/netwerk/cookie/nsICookie2.idl"	https://bugzilla.mozilla.org/attachment.cgi?id=8703737&action=diff	"
                 bool              aIsHttpOnly)

                              aIsSession, aIsSecure, aIsHttpOnly);
"	"
                 bool              aIsHttpOnly,
                 const OriginAttributes& aOriginAttributes)
                              aIsSession, aIsSecure, aIsHttpOnly,
                              aOriginAttributes);"
b1235657	Session storage needs to handle origin attributes correctly.	https://bugzilla.mozilla.org/show_bug.cgi?id=1235657	"
a/caps/tests/unit/test_origin.js
a/dom/base/ChromeUtils.cpp
a/dom/base/ChromeUtils.h
a/dom/webidl/ChromeUtils.webidl"	https://bugzilla.mozilla.org/attachment.cgi?id=8703777&action=diff		
b1235658	in-content preferences for offline apps needs to use origin attributes when creating permission principal	https://bugzilla.mozilla.org/show_bug.cgi?id=1235658	"
a/browser/components/preferences/in-content/advanced.js"	https://bugzilla.mozilla.org/attachment.cgi?id=8704565&action=diff	"
    var principal = Services.scriptSecurityManager.createCodebasePrincipalFromOrigin(origin);

    try {
      var attrs = ChromeUtils.createDefaultContextOriginAttributes(origin);
      var originURI = Services.io.newURI(origin, null, null);
      principal = Services.scriptSecurityManager.createCodebasePrincipal(originURI, attrs);
    } catch (e) {
      return;
    }"	"

    var principal;"
b1235661	sync services needs to use origin attributes correctly	https://bugzilla.mozilla.org/show_bug.cgi?id=1235661	"
a/dom/requestsync/RequestSyncService.jsm"	https://bugzilla.mozilla.org/attachment.cgi?id=8735171&action=diff	"
      let prin = Services.scriptSecurityManager.createCodebasePrincipalFromOrigin(key);
      if (!ChromeUtils.originAttributesMatchPattern(prin.originAttributes, pattern)) {
"	"
      let attrs = ChromeUtils.createOriginAttributesFromOrigin(key);
      attra.userContextId = 0; // force user context to default
      if (!ChromeUtils.originAttributesMatchPattern(attrs, pattern)) {"
b1235668	AppProcessChecker needs to stop using createCodebasePrincipalFromOrigin	https://bugzilla.mozilla.org/show_bug.cgi?id=1235668	"
a/dom/ipc/AppProcessChecker.cpp"	https://bugzilla.mozilla.org/attachment.cgi?id=8704569&action=diff	"
  nsCOMPtr<nsIPrincipal> principal;
  securityManager->CreateCodebasePrincipalFromOrigin(aOrigin,
                                                     getter_AddRefs(principal));


  nsCOMPtr<nsIPrincipal> principal =
    BasePrincipal::CreateCodebasePrincipal(aOrigin, originAttributes);
  NS_ENSURE_TRUE(principal, false);"	"
  nsAutoCString originNoSuffix;
  DefaultContextOriginAttributes originAttributes;
  bool ok = originAttributes.PopulateFromOrigin(aOrigin, originNoSuffix);
  NS_ENSURE_TRUE(ok, false);"
b1235929	PushRecord needs to use origin attributes when creating a codebase principal	https://bugzilla.mozilla.org/show_bug.cgi?id=1235929	"
a/dom/push/PushRecord.jsm"	https://bugzilla.mozilla.org/attachment.cgi?id=8704564&action=diff	"
        principal = Services.scriptSecurityManager.createCodebasePrincipalFromOrigin(url);

        var uri = Services.io.newURI(url, null, null);
        principal = Services.scriptSecurityManager.createCodebasePrincipal(uri, attrs);
"	"

        var attrs = ChromeUtils.createDefaultContextOriginAttributes(url);"
b1237066	FeedWriter.js needs to use createCodebasePrincipal with global context user id	https://bugzilla.mozilla.org/show_bug.cgi?id=1237066	"
a/browser/components/feeds/FeedWriter.js"	https://bugzilla.mozilla.org/attachment.cgi?id=8718224&action=diff	"
    let secman = Cc[""@mozilla.org/scriptsecuritymanager;1""].
                 getService(Ci.nsIScriptSecurityManager);
    this._feedPrincipal = secman.getSimpleCodebasePrincipal(this._feedURI);
"	"
    let attrs = ChromeUtils.createOriginAttributesFromOrigin(this._feedURI);
    attrs = ChromeUtils.setDefaultUserContextId(attrs);
    this._feedPrincipal = 
      Services.scriptSecurityManager.createCodebasePrincipal(this._feedURI, attrs);"
b1262009	Firefox attempts to update ssl information for chrome URLs that contain inner frames with secure content	https://bugzilla.mozilla.org/show_bug.cgi?id=1262009
